name,id,category,href,images,semantic_features
T-shirt Hot Robot,1591,du-style,https://www.lesraffineurs.com/du-style/1591-t-shirt-hot-robot.html,"['https://lesraffineurs.b-cdn.net/13041-large_default/t-shirt-hot-robot.jpg', 'https://lesraffineurs.b-cdn.net/13042-large_default/t-shirt-hot-robot.jpg']",
Horloge des marées,552,du-temps-libre,https://www.lesraffineurs.com/du-temps-libre/552-horloge-des-marees.html,"['https://lesraffineurs.b-cdn.net/9740-large_default/horloge-des-marees.jpg', 'https://lesraffineurs.b-cdn.net/9739-large_default/horloge-des-marees.jpg', 'https://lesraffineurs.b-cdn.net/13551-large_default/horloge-des-marees.jpg', 'https://lesraffineurs.b-cdn.net/13553-large_default/horloge-des-marees.jpg', 'https://lesraffineurs.b-cdn.net/13552-large_default/horloge-des-marees.jpg', 'https://lesraffineurs.b-cdn.net/9737-large_default/horloge-des-marees.jpg', 'https://lesraffineurs.b-cdn.net/9738-large_default/horloge-des-marees.jpg']",
Baromètre à cristaux,542,du-temps-libre,https://www.lesraffineurs.com/du-temps-libre/542-barometre-a-cristaux.html,"['https://lesraffineurs.b-cdn.net/4526-large_default/barometre-a-cristaux.jpg', 'https://lesraffineurs.b-cdn.net/4525-large_default/barometre-a-cristaux.jpg', 'https://lesraffineurs.b-cdn.net/4527-large_default/barometre-a-cristaux.jpg']",
Stellarscope,1122,du-temps-libre,https://www.lesraffineurs.com/du-temps-libre/1122-stellarscope.html,"['https://lesraffineurs.b-cdn.net/9894-large_default/stellarscope.jpg', 'https://lesraffineurs.b-cdn.net/9895-large_default/stellarscope.jpg', 'https://lesraffineurs.b-cdn.net/9897-large_default/stellarscope.jpg', 'https://lesraffineurs.b-cdn.net/9896-large_default/stellarscope.jpg', 'https://lesraffineurs.b-cdn.net/9899-large_default/stellarscope.jpg', 'https://lesraffineurs.b-cdn.net/9920-large_default/stellarscope.jpg', 'https://lesraffineurs.b-cdn.net/9921-large_default/stellarscope.jpg']",
Cube en bois magnétique,1087,du-temps-libre,https://www.lesraffineurs.com/du-temps-libre/1087-cube-en-bois-magnetique.html,"['https://lesraffineurs.b-cdn.net/11119-large_default/cube-en-bois-magnetique.jpg', 'https://lesraffineurs.b-cdn.net/9246-large_default/cube-en-bois-magnetique.jpg', 'https://lesraffineurs.b-cdn.net/9247-large_default/cube-en-bois-magnetique.jpg', 'https://lesraffineurs.b-cdn.net/9248-large_default/cube-en-bois-magnetique.jpg', 'https://lesraffineurs.b-cdn.net/9249-large_default/cube-en-bois-magnetique.jpg', 'https://lesraffineurs.b-cdn.net/9250-large_default/cube-en-bois-magnetique.jpg', 'https://lesraffineurs.b-cdn.net/9252-large_default/cube-en-bois-magnetique.jpg', 'https://lesraffineurs.b-cdn.net/9251-large_default/cube-en-bois-magnetique.jpg', 'https://lesraffineurs.b-cdn.net/9456-large_default/cube-en-bois-magnetique.jpg', 'https://lesraffineurs.b-cdn.net/9455-large_default/cube-en-bois-magnetique.jpg', 'https://lesraffineurs.b-cdn.net/13731-large_default/cube-en-bois-magnetique.jpg', 'https://lesraffineurs.b-cdn.net/9253-large_default/cube-en-bois-magnetique.jpg']",
Affiches Carte des Vins,722,du-gosier,https://www.lesraffineurs.com/du-gosier/722-affiches-carte-des-vins.html,"['https://lesraffineurs.b-cdn.net/10246-large_default/affiches-carte-des-vins.jpg', 'https://lesraffineurs.b-cdn.net/6252-large_default/affiches-carte-des-vins.jpg', 'https://lesraffineurs.b-cdn.net/6251-large_default/affiches-carte-des-vins.jpg', 'https://lesraffineurs.b-cdn.net/12910-large_default/affiches-carte-des-vins.jpg', 'https://lesraffineurs.b-cdn.net/12628-large_default/affiches-carte-des-vins.jpg', 'https://lesraffineurs.b-cdn.net/6247-large_default/affiches-carte-des-vins.jpg', 'https://lesraffineurs.b-cdn.net/6248-large_default/affiches-carte-des-vins.jpg', 'https://lesraffineurs.b-cdn.net/6249-large_default/affiches-carte-des-vins.jpg', 'https://lesraffineurs.b-cdn.net/6250-large_default/affiches-carte-des-vins.jpg', 'https://lesraffineurs.b-cdn.net/6729-large_default/affiches-carte-des-vins.jpg', 'https://lesraffineurs.b-cdn.net/6864-large_default/affiches-carte-des-vins.jpg', 'https://lesraffineurs.b-cdn.net/6865-large_default/affiches-carte-des-vins.jpg', 'https://lesraffineurs.b-cdn.net/6866-large_default/affiches-carte-des-vins.jpg', 'https://lesraffineurs.b-cdn.net/7353-large_default/affiches-carte-des-vins.jpg', 'https://lesraffineurs.b-cdn.net/7354-large_default/affiches-carte-des-vins.jpg', 'https://lesraffineurs.b-cdn.net/7355-large_default/affiches-carte-des-vins.jpg', 'https://lesraffineurs.b-cdn.net/6254-large_default/affiches-carte-des-vins.jpg']",
Créez votre propre vin,810,des-experiences,https://www.lesraffineurs.com/des-experiences/810-creez-votre-propre-vin.html,"['https://lesraffineurs.b-cdn.net/6765-large_default/creez-votre-propre-vin.jpg', 'https://lesraffineurs.b-cdn.net/6766-large_default/creez-votre-propre-vin.jpg', 'https://lesraffineurs.b-cdn.net/6767-large_default/creez-votre-propre-vin.jpg', 'https://lesraffineurs.b-cdn.net/6768-large_default/creez-votre-propre-vin.jpg', 'https://lesraffineurs.b-cdn.net/6769-large_default/creez-votre-propre-vin.jpg', 'https://lesraffineurs.b-cdn.net/6770-large_default/creez-votre-propre-vin.jpg', 'https://lesraffineurs.b-cdn.net/6771-large_default/creez-votre-propre-vin.jpg']",
Soirée d'initiation à l'œnologie,105,des-experiences,https://www.lesraffineurs.com/des-experiences/105-soiree-d-initiation-a-l-oenologie.html,"['https://lesraffineurs.b-cdn.net/609-large_default/soiree-d-initiation-a-l-oenologie.jpg', 'https://lesraffineurs.b-cdn.net/603-large_default/soiree-d-initiation-a-l-oenologie.jpg', 'https://lesraffineurs.b-cdn.net/608-large_default/soiree-d-initiation-a-l-oenologie.jpg', 'https://lesraffineurs.b-cdn.net/606-large_default/soiree-d-initiation-a-l-oenologie.jpg', 'https://lesraffineurs.b-cdn.net/607-large_default/soiree-d-initiation-a-l-oenologie.jpg', 'https://lesraffineurs.b-cdn.net/2677-large_default/soiree-d-initiation-a-l-oenologie.jpg']",
Micro-Parapluie Anatole,1419,du-style,https://www.lesraffineurs.com/du-style/1419-micro-parapluie.html,"['https://lesraffineurs.b-cdn.net/11889-large_default/micro-parapluie.jpg', 'https://lesraffineurs.b-cdn.net/11887-large_default/micro-parapluie.jpg', 'https://lesraffineurs.b-cdn.net/11888-large_default/micro-parapluie.jpg', 'https://lesraffineurs.b-cdn.net/11890-large_default/micro-parapluie.jpg', 'https://lesraffineurs.b-cdn.net/11884-large_default/micro-parapluie.jpg', 'https://lesraffineurs.b-cdn.net/11886-large_default/micro-parapluie.jpg', 'https://lesraffineurs.b-cdn.net/11885-large_default/micro-parapluie.jpg', 'https://lesraffineurs.b-cdn.net/11880-large_default/micro-parapluie.jpg', 'https://lesraffineurs.b-cdn.net/11881-large_default/micro-parapluie.jpg', 'https://lesraffineurs.b-cdn.net/11882-large_default/micro-parapluie.jpg', 'https://lesraffineurs.b-cdn.net/11883-large_default/micro-parapluie.jpg', 'https://lesraffineurs.b-cdn.net/13362-large_default/micro-parapluie.jpg', 'https://lesraffineurs.b-cdn.net/13363-large_default/micro-parapluie.jpg']",
Pierres à whisky scandinaves,23,du-gosier,https://www.lesraffineurs.com/du-gosier/23-pierres-a-whisky-scandinaves.html,"['https://lesraffineurs.b-cdn.net/89-large_default/pierres-a-whisky-scandinaves.jpg', 'https://lesraffineurs.b-cdn.net/294-large_default/pierres-a-whisky-scandinaves.jpg', 'https://lesraffineurs.b-cdn.net/7624-large_default/pierres-a-whisky-scandinaves.jpg', 'https://lesraffineurs.b-cdn.net/7625-large_default/pierres-a-whisky-scandinaves.jpg', 'https://lesraffineurs.b-cdn.net/7623-large_default/pierres-a-whisky-scandinaves.jpg']",
Sac à dos Rolltop Rains,1403,du-style,https://www.lesraffineurs.com/du-style/1403-sac-a-dos-rolltop-rains.html,"['https://lesraffineurs.b-cdn.net/11494-large_default/sac-a-dos-rolltop-rains.jpg', 'https://lesraffineurs.b-cdn.net/11493-large_default/sac-a-dos-rolltop-rains.jpg', 'https://lesraffineurs.b-cdn.net/11495-large_default/sac-a-dos-rolltop-rains.jpg', 'https://lesraffineurs.b-cdn.net/11480-large_default/sac-a-dos-rolltop-rains.jpg', 'https://lesraffineurs.b-cdn.net/11481-large_default/sac-a-dos-rolltop-rains.jpg', 'https://lesraffineurs.b-cdn.net/11482-large_default/sac-a-dos-rolltop-rains.jpg', 'https://lesraffineurs.b-cdn.net/11483-large_default/sac-a-dos-rolltop-rains.jpg', 'https://lesraffineurs.b-cdn.net/11484-large_default/sac-a-dos-rolltop-rains.jpg', 'https://lesraffineurs.b-cdn.net/11485-large_default/sac-a-dos-rolltop-rains.jpg', 'https://lesraffineurs.b-cdn.net/11486-large_default/sac-a-dos-rolltop-rains.jpg', 'https://lesraffineurs.b-cdn.net/11489-large_default/sac-a-dos-rolltop-rains.jpg', 'https://lesraffineurs.b-cdn.net/11490-large_default/sac-a-dos-rolltop-rains.jpg', 'https://lesraffineurs.b-cdn.net/11496-large_default/sac-a-dos-rolltop-rains.jpg', 'https://lesraffineurs.b-cdn.net/11491-large_default/sac-a-dos-rolltop-rains.jpg', 'https://lesraffineurs.b-cdn.net/11487-large_default/sac-a-dos-rolltop-rains.jpg', 'https://lesraffineurs.b-cdn.net/11492-large_default/sac-a-dos-rolltop-rains.jpg', 'https://lesraffineurs.b-cdn.net/13522-large_default/sac-a-dos-rolltop-rains.jpg', 'https://lesraffineurs.b-cdn.net/14459-large_default/sac-a-dos-rolltop-rains.jpg']",
Livre 130 week-ends en Europe,461,du-temps-libre,https://www.lesraffineurs.com/du-temps-libre/461-livre-125-week-ends-en-europe.html,"['https://lesraffineurs.b-cdn.net/14395-large_default/livre-125-week-ends-en-europe.jpg', 'https://lesraffineurs.b-cdn.net/14396-large_default/livre-125-week-ends-en-europe.jpg']",
